No.,No. 2,No. 3,Time,Review text,Rater 1 - Valence,Rater 1 - Arousal,Rater 2 - Valence,Rater 2 - Arousal
591,46131,173,4/26/14,"A great great little place around the corner from Austin St! Came for Sunday brunch with the girlfriend a few weeks ago, and man oh man was that a great decision of mine! We sat at the bar and were greeted by a great girl (forgive me for not recalling her name) behind the bar who was super helpful and friendly enough to actually hold a conversation with us while we ate. :)  I got the corned beef hash w/ bacon, while she got the eggs benedict w/ candied bacon..mmmm!! Both were just delicious! Then we topped it off with a couple mimosas which you can't go wrong with. Heard the jazz music that was playing while there, but just barely..a good thing tho I guess because you probably don't want it to loud.",9,7,7,8
592,61857,548,8/22/13,Woorjip is a cute little spot to grab something to eat there or on the go. I've tried some of the sushi rolls and I believe a noodle or something. Been here a couple times and it's a casual environment for a quick meal.,5,1,4,1
593,105300,528,8/26/12,"Before headed to New York, my goal was to get a lobster roll and I succeeded. Weirdly enough, when I went to Luke's Lobster, I enjoyed the crab roll much more than the lobster. The crab was so sweet! The reviews on here say it was either over dressed or bland but I guess I was lucky because it was none of those things when I got it. It might have been because it was crab season. The shrimp roll was just ok. I ordered the Taste of Maine and also had some chowder. Overall, it was a good experience. They luckily had one table enough to fit my party of five. The rolls were great on a buttery piece of toast. The chowder was a nice consistency and taste. The people I was traveling with didn't enjoy it as much as me but it didn't have to do with the quality of Luke's more so than that they were tried of their travels and ready to get back home (unlike me). I think they were also surprised at the high price for pretty small portions. Not sure if I'd come back if I had a limited time in NYC but if I did, I'd just get the lobster or crab roll.",7,3,6,4
594,16836,61,10/23/11,I went there last year while visiting NYC; I am still thinking about them and planning on visiting again this year when I go to New York. That should tell you something!,8,7,9,6
595,20374,243,3/7/12,"In love with this place - been there twice in less than 2 weeks since there were so many things on the menu that I couldn't decide. Tried: Guanciale with egg (red sauce fresh mozzarella & guanciale with an egg) Cheese Christ - 3 cheese with black pepper Specken Wolf - Speck  & Mushrooms Romaine salad with candied walnuts & mint ALL of it was wonderful - the crust of the pizza is chewy and a little bit on the sweet side (in a good way) with a good amount of char but not too much so that you feel like you are immediately getting cancer eating it. The toppings are all super high quality and not over done, so you really taste everything. I have no problem giving a 5 star review without trying everything on the menu because I am confident that it is ALL GREAT. I need to absolutely rave about the ""Cheeses Christ"" - first of all, I like the name, it makes me laugh. Secondly, it is such a great balance of richness with out going over the top. The black pepper is the perfect seasoning bite to the smooth creaminess of the mixed cheeses. Yes, the wait is long. But, the space is cool and cozy (even though it's quite large) and can not wait to hang out in the back yard area when its balmy and I don't care how long I wait if I have a drink in hand and can be outdoors. It's also completely worth the wait so just hang out and relax cause sooner or later you will get your seat and be sooo happy.",9,9,8,8
596,49978,531,7/27/07,"I have never lived in New York with money, which means that the week that Ben A. and I spent in the City, we kind of went overboard on the eating.  We ate at so many fancy places, that they all started to taste the same. Except for our final meal at the The Grocery--which was clean, distinctive, and inventive.   As I said to the hubster, The Grocery's particular pleasure lies in the way that they use a California cooking model--putting fresh ingredients before fancy cooking.",7,4,8,6
597,154550,890,12/10/14,"Nice place with cozy vintage atmosphere . Super simple menu which is great. Burers are super thick , make sure u order it well done to make sure.  Super cramped atmosphere and tables where u will most likely be sitting with someone next to other people at the same table, but that is what it is in Manhattan in the West Village where a lot of the restaurants are small. Overall amazing burgers with good buns lettuce tomato and pickles and a old price . Runs about 9$ a person. One thing I noticed is they must have all this food ready constantly growing and flying out because the food came about 60 seconds after we ordered it which was incredible and amazing very good for a small cramped place busy people in and out quickly period that is one of the best things I can say about that by someone with was very good prices were very low. This restaurant has a full bar and a friendly ,staff, will return.",7,3,8,2
598,4403,247,10/19/13,"They definitely take time to craft their ramen.  If you order extra noodles, they come at the end timed to perfection.  At the end of the day though, the ramen itself was good but for the prices, the lines, they hype, the portion size and taste not quite five star.",6,5,7,4
599,56410,243,8/11/14,I was very hungry near midnight and I was grateful these guys were open. These do make a nice pizza. Best choice after midnight...,9,7,8,6
600,73680,352,12/12/14,"Just incredible, possibly the best Indian food  ""taco"" I've ever had. I tried the chicken, egg, and beef rolls, and they were all tasty (chicken was spicier than the others). The beef was possibly my favorite, so tender. And the ""tortilla"" was just delicious. Only drawback is that this is a very small place with few tables. The line moves decently fast during lunch rush, but be warned that it does get long.",7,4,6,5
601,5315,15,9/21/14,"I love Two Hands! Very picturesque and wholesome, I just wish they had Wifi, electrical outlets, and more tables/seats. I haven't had a chance to try out their food but their coffee is amazing. The Iced Chai is not so great, it was definitely not strong enough and too watery. Two Hands is not really a study kind of environment because of the crowd and lack of Wifi but it's a great place to bring friends and catch up!",7,8,6,7
602,16300,869,9/21/12,Free starters are good! Cold tofu- very delicate Noodle soup is yummy!,9,8,8,7
603,5882,263,9/14/10,"As I was eating my entrée of veal loin with sweet bread, I kept thinking ""less is more,""  While the veal was cooked wonderfully, there was just too much else going on.  The same can be said of the black pasta with seafood. My dinning companion also complained about the amount of sands present in the shell fish.   On the other hand, the famed spaghetti with tomato and basil is an exemplary case of ""less is more.""  The secret lies in the fine quality of the pasta and the use of butter in the sauce (saw it on FoodTV).  Definitely over-priced, I would still order it again.   The table breads with the accompanying dips and spreads are only eclipsed by Le Bernadin's salmon rillettes, and the polenta is pleasant.   Unfortunately, the lardo-wrapped halibut was unfathomably dry despite its inspiration.  A complete misfire.  The service was fine but there are way too many staff members walking around non-stop--quite distracting.",5,4,4,2
604,3480,42,9/26/14,"I'd give Uglyduckling 4 stars for friendly service, nice atmosphere, and food (although I only tried the poutine and loaded fries, which were very good), but I found it odd that an extra .50 cents were added to my tip when I viewed the charge online (on a $42 bill, I wrote and signed for an $8 tip, which was $8.50 once the payment processed).  I don't feel good about that sort of weirdness, even it is such a small amount.  My friends who live a few blocks away love this restaurant, so I see myself coming back, but I guess I'll stop and get cash beforehand?",7,4,6,3
605,73014,345,8/17/12,"i think it was Nafeesa who's review mirrors my sentiments.  Perhaps the only difference is I did not have any preconceived notions prior to going this this establishment.  I actually read the reviews after dinner and was wondering if they were as bland as my experience. I'll start with the good:  the drinks were decent.  whether alcoholic or non-alcoholic drinks (i had something with ginger) i'd have to say they were good.  We dined in the back outdoor area it was a great day and didnt want to sit indoors so that's a plus.  the lamb breast  was only decent and that's where my train stops.  The nachos were just ok, felt like it was missing something....and where are the rest of the nachos?  felt like a kids meal.  same for the shishito, just ok nothing to write home about. I decided i would also try the chicken and waffles.  big mistake.  the waffles were fried, i think, and the chicken was super dry.   the proportions were pretty weird:  two small waffle pieces and hilariously large portions of chicken.  the waffles tasted like fried mulch.  as hungry as i was i couldnt eat the waffles.  they were terrible. lastly, the mashed potatoes....ah the mashed potatoes.  those were edible but still  pretty bad. Wiith all these great reviews i must be missing something but im not sure if i want to spend my time or money here again anytime soon.  Im easy to please, but this experience just didnt make the cut.  sorry.",3,4,2,5
606,17035,264,8/10/14,"Just opened! I came in today and coming back over the weekend to indulge in my love for the xiao long baos. Really reminds me of my childhood - the meat is firm, the soup is amazingly light, and the skin is just thick enough to keep it all together. I need to try the other main dishes, but I can literally eat 2 dozen of these. The Bao is a welcomed addition to the neighborhood full of food and will become a mainstay in my weekly diet for sure.",9,7,8,8
607,5161,551,5/30/14,"I dubbed thee "" brooooo bar "". That's what i kept hearing as i sat at the bar looking at the happy hour menu. dude#1 - something something Broooo dude#2 -  :: getting louder:: YEA Broooooooo both dudes - Bwahahahhahahaha :: super loud:: Fools Gold is quite spacious and i foresee this place becoming a mad house almost every night of the week. Friendly bartenders who are well versed in the art of craft beer/ whiskey. Myself being a non-beer drink had no interest in this aspect buttt they do have what seemed to be an extensive variety. Happy hour runs from 11am-7pm which includes - certain beers ( the ones with "" * "" next to it on the menu) for 5 dollars - 1 dollar oysters ( dozen per person is the limit) - sandwich and beer for 12 bucks I was even surprised to see that they serve Katz's corned beef here as a sandwich but hey, I'm not complaining! They also have a few tv scatter around the place so you can get your sports watching on. Great place for a guy's night out or just grabbing a drink. So what are you waiting for, brooooooooooo?",8,9,7,8
608,134323,711,12/10/13,"I Don't even know where to start on how good this place is... After 10 years in NYC I had given up all hope of finding a solid seafood spot that perfectly nails southern cooking with a new yorkers foodie twist. Food: -The crawfish are to die for, regardless of the season. The owners must have the best hookup in the states, always fresh, perfectly sized, juicy, and cooked to perfection. -The Sauce: You cant go wrong, but I do have a favorite. Old bay dry... with a side of the boil special in medium. The boil special adds this perfect sweet,salty, but spiced to perfection addition that is a perfect dunk to crab, lobster, shrimp or of course crawfish. However, many of my friends like the boil special in their bags. To each their own, the beauty of this place is that you can try many different combinations till you find your favorite. (And trust me, its impossible to only go to the boil once... it will quickly become your favorite spot) -The food: (Outside of the perfect seafood that has yet to ever be even remotely off). The chicken wings are hands down the best I have ever had. Skin is perfectly crispy, meet is juicy and falls off the bone, spice (While I dont know what their special recipe is, is UNREAL). Ambiance: Its the only seafood place that can somehow make a cold winter night feel cozy. The music is perfect. TV's are always playing sports... nothing beat Sunday football snacking on bags of crawfish and beer. However, it also manages to be romantic if on a date.. or fun if in a group. Again, the owners nailed the landing here. I rarely yelp.. but this place deserve the 5 stars... and more.",9,7,8,6
609,37167,308,1/3/12,"I dined here about a year ago. My friend and I were looking for an Indian restaurant in the area but neither of us had smart phones so -- woops. She suggested Becco's where she had dined for work related events. I was hesitant at first, thinking the restaurant's proximity to Times Square would make it a tourist trap, flying on the heels of Lydia's celebrity. It turns out, it was a wonderful experience. Lucky for us, as a party of two, we were promptly seated, without reservations. Thinking that its description made it a great deal, I ordered the Zuppa di Pesce Misto -- I believe I ended up paying $30 with tip for this. The dish was better than I had expected -- with chunks of fresh tasting salmon, jumbo shrimps, maybe calamari, scallops, and mussels as well. That is an incredible deal! The lobster broth was well balanced (not overly salty or fishy) and delicious.",8,2,7,3
610,96179,413,4/24/12,"I only come here because the wonton noodles here remind me of the really fantastic noodles in Hong Kong. If you've ever tried wonton noodles in HK, you'll know what I'm talking about. The place is cute and the waitresses are nice enough. I also get a 10% discount just for checking in on Yelp, so that's another reason why I keep returning. The beef chow fun is also really good, but a bit on the salty side. I tried the pan fried dumplings too; it was just okay. Also, the bathroom here is pretty nice compared to the other Chinese restaurants in the neighborhood so I was pleasantly surprised. The seating is comfortable but only if you opt to sit against the walls. The tables in the middle of the restaurant are cramped.",6,1,5,2
611,3509,392,1/19/14,"An update - I have to say, last Sat night I finally made it back for another try and had a complete opposite experience from last time. Honestly, I think the kitchen was just hit hard last time and they sent some food out they probably shouldn't have, but tonight was just flawless. The beet and goat cheese salad is a must! Such a delicate creamy goat cheese that sits atop a beautiful cake of richly colored and incredibly fresh/sweet beets - easily one of my favorites. My husband enjoyed the French onion soup and foie gras immensely and I did something I never do - eat red meat. I went for the steak frites and loved it! Perfectly cooked, tender juicy steak (I swear I usually don't even like steak), and exquisite fries - I will crave them for days, I'm sure. The other couple we went with enjoyed the duck and cheeseburger and the kale we ordered as a side was amazing. The Ile Flottante I had again for dessert was the perfect ending. What really impressed me was the service - Mary was lovely and so attentive, and the tall French guy (sorry I don't know the name!) was so pleasant and genuine. While we certainly weren't going to order what we had last time, what we did have really impressed all of us and we will definitely be back for more! Thank you again for the generous certificates and for wowing us the second time around - our first experience here was certainly an anomaly.",9,7,8,6
612,71422,555,6/29/11,"Amazing. The combo platter from this place is the tastiest, manliest meal you can have for $6 in NYC. No frou-frou sh*t here. Just well-seasoned meat on a fluffy bed of rice drowned in a delicious white sauce. It's as if David Beckham (the manliest guy in the world) shot magic all up in my mouth. Yes, that good. Also, yeshetero. Random tips: 1) I love spicy food as much as anyone I know (to the extreme, I'll drink bottles of 500K+ Scoville unit 'designer' hot sauces for fun), but don't overdo it on the red sauce. You want to fully taste how good these plates are. 2) Even if you don't like lamb, go for the combo platter. I usually think lamb tastes like a weird mix of flowers, gamey-ness, and meat, but it's well done here and the chicken alone does seem like it'd be a touch bland. 3) Lastly, some cabbie told me that you can jump the primary line by telling these dudes you're in the 'cab line.' Normally, I would dismiss this, but this cab driver's name was also Leo, so he must be awesome/telling the truth.",7,4,7,8
613,50882,203,7/12/14,"Delicious Brekkie actually, perfection and very good coffee my family ( from Melbourne) got so excited when we discovered this place it needs more space to sit down and enjoy the food as most of these dishes are very hard to take out. We will definitely re visit next time we are in NYC hope they expand",7,6,8,8
614,79813,486,12/5/10,"Hmm....If I only had 5 bucks in my pocket and wanted a filling dinner, this would probably be the place to go.  Atmosphere would be a D, Service a C, food a B and price an A.  I got 4 pork fried dumplings ($1.00), a chive &  egg pancake ($1.50) and 3 pork fried buns ($1.00).  This place is meant for something quick and cheap, food is filling so don't expect exceptional quality meal here. I think Rachel Ray could've eaten here for breakfast, lunch, and dinner on her $40.00 a day, and saved $20 bucks for the next show.",6,3,7,2
615,62612,340,3/19/14,Such a great place to go for lunch or dinner (they offer breakfast as well which I have to try). It is nice to have a nice sandwich place with great service and delicious food around the area. It is fairly priced. The sandwiches range from $7-10 and you will leave full. They also have salads and dessert. You order at the counter and they serve the sandwiches to your table within 5-10 minutes. The Godfather (spicy) and healthilicous were delicious. Definitely going back!,8,7,9,9
616,41772,141,5/10/14,"Went here with the yelp deal. Service is really nice, food is delicious. We got cauliflower beignets (very good) and pea soup (meh). For main dish we got mussels and fries and it was nice as well. My favorite part is the dessert: Tahini fudge! Yum!",9,7,8,6
617,129101,668,9/2/10,"Ate at Eataly (Pasta Section) on 9/2/2010. Not only does one find a different Italian food at each station, but eateies are offered at some of the starions.  I ate the Fusili Pasta with meat sauce.  I would have liked just a little more tomato sauce mixed in it.  The staff was swamped, but all so courteous and helpful.  Because it was so busy (had been opened only 2 days) I did not buy any product. (the bread I wanted was gone)!   Will certainly return to buy some cheese, bread, etc., at another time. Bravo!",7,7,6,4
618,136784,732,9/5/14,"Wish i could give 3.5 stars. The food was better than i expected. I had the seafood kim chi fried rice. Good rice to seafood to kim chi ratio ^_^. My wife had the beef bi bim bop, it had a little bit of a clean taste. Pretty good place to stop by for quick korean food.",7,5,4,6
619,15151,548,4/29/13,"This is a great, quick, cheap, and delicious place. All of the things that you want, especially in NYC. There's hot/cold food. Soup. Boxed lunches. Or make a buffet take-out box of your own. A lovely array of drinks both non-alcoholic and alcoholic drinks. All this place needs is some dessert. Well I guess you can go somewhere else in K-town to get some yummy pastries, but it would be cool if they had some. I had to take one star out for food cause it wasn't the most amazing korean food I've had. But for what it is, it was pretty good. I had things from the pre-made hot lunches. It might have been different if I got it from the buffet side. There's also plenty of room to sit. I thought it was just the front, but there's more seats in the back. Overall, if I'm ever around k-town, this is would be my go-to place. And it closes at 3am! :D Great place. Highly recommended.",7,9,8,6
620,15442,369,6/28/14,This place used to be a hidden gem when it opened a few years ago because it's located in such a residential area. But words have spread and people travel to make this cute coffee/sandwich place a destination. Had so many of their panini and breakfast crepes and they're so good. Everything is so fresh and they're not cheap with the stuffings. The frozen hot chocolate is compatible to serendipity. I'm craving for one right now just thinking about it. The staff is super nice. Cash only! But they have a ATM machine inside.,7,6,9,6
621,2221,720,1/10/13,"I'm not a brisket kind a woman so this review is for the hubby and rents..yeah, they loved it..raved about it actually. I heard they have a brick and mortar now so if brisket is your thing check 'em out! Btw, get there early, they sell out super fast.",8,5,9,6
622,43449,221,2/20/13,Good food quality and selection. romantic ambiance. I really wish they took reservations though. I am a fan!,8,7,9,8
623,93308,465,12/2/14,"Me and my two friends came here pizza is great ""BUT BOY"" there a lot of dust everywhere. Sitting upstairs looking down how much dust there is inside the store. Place needs to be painted and cleaned up up 2 stars they get because of service and pizza. But if you make a lot of money make sure your place is clean!!!",3,8,2,9
624,149416,859,3/12/13,"Hands down my fav place to hit up for yakitori and my comfort food spot when I spend any length of time in NYC.  I have to fight the urge not to eat here all the time just so I can sample other meals in the city.  I try to sit at the bar right in front of the people grilling since they tend to serve you directly as opposed to having to wait for the servers (hit or miss with waitstaff) to bring your food to the table.  I've come to realize that you just have to be a little bit aggressive with the waitstaff to get what you need (other dishes, drinks, check), hence minus 1 star.  This arrangement really only works for 2 people dining together though unless you grab the corner section of the bar where it bends around (and even then, max of 4).  The skewers are definitely more pricey than some of the other spots around the city, but it is hands-down the one. The following are some of my top skewer choices from the menu:  - tsukune or nankotsu tsukune in tare sauce (chicken meatball)    - negi buta-toro pon (pork belly with scallion in ponzu sauce)  - harami (skirt steak with onions and peppers)    - kuruma ebi (prawn)    - hiza nankotsu (knee cartilage)*  - soriresu ('chicken oyster' [aka really juicy nugget of thigh meat near the joint])*  - yaki onigiri with tare sauce (though this last one may be a fav since it reminds me of some really great street food I used to have when I lived in Japan) *Hiza nankotsu and soriresu tend to run out early since they're the 'limited' items. One time when I got here right when they opened, I heard them call out they had 10 orders of the former and 20 of the latter.  Not sure if this is typical, but FYI... The other skewer items are very solid (e.g. things like the various veggies), but the ones above are those they do particularly well.  With a bowl of white rice, a set of skewers makes a perfect meal for me.   Other menu items (appetizers, entrees) are on the most part good, but nothing that I would go out of my way for.  I stick to the skewers since I don't want to waste any room in my stomach. NB  They take reservations for lunch (GREAT LUNCH SPECIALS), so definitely call in ahead of time lest you want to end up languishing in line while smelling the grilling food for the next half hour.",8,4,9,5
625,59193,255,9/3/13,the place looks clean and the food was delicious. the service was okay.,6,3,7,2
626,89873,449,3/30/11,"I've always wanted to try a Croque Monsieur after watching Meryl Streep's post menopausal ass cook one in that horrible, shitstorm movie ""It's Complicated."" I got that chance at Bubby's. Twice. In a week. Don't tell my Weight Watchers leader. But at Bubby's they call it the Mr. Crunch. Whatever it was, it was made with love. Love in the culinary world equals butter. Lots of butter. And Cheese. Dripping down my hand. Holy moly, am I pissed off I don't live in New York. I need to find a Chicago Mr. Crunch ASAP. Everything there looks good. I got the vegetable fries with my sandwich both times. I will forever crave them. The pies and cakes looked out of control, but I was too full to try them. Plus, this is in Tribeca. And who doesn't need an excuse to go down there? Because, let's face it, no one reading this actually lives there. Unless, of course, I'm wrong and you do. And you happen to be a hot, Jewish lawyer. In which case--call me.",9,9,9,9
627,38283,363,3/4/13,"Does a good brunch: a nice bloody mary, a nice eggs benedict served in beautiful surroundings by professional staff.",9,1,8,2
628,102292,668,8/3/14,"Not impressed.... Finally made it here to take my roommate from Maryland and I almost regret stepping foot in this place.. It is, like many others have previously stated, a tourist trap.. It's so chaotic and disorganized.. People are standing and eating at these communal tables and a few people sitting at the small tabletops on bar stools.. A few different areas like a fish section, a pasta section, a meat and cheese section, whatever, I've def had better at other places.. You go here for the experience and that's it... If you get annoyed in large amounts of foot traffic, Body odor and a  strong fishy smell then don't go here... Also, the waiter Joseph K, completely rude.. Like guy don't take it out on me bc you're middle aged and working as a waiter at eataly. Anytime my friend and I asked him a question his response was ""nope"" or ""yep"" like hath you no Proper English skills let alone table side manner.. Truly pissed me off. I'm mad I actually went here and wasted an hour and a half of my life and $60. I walked around the block to rosa Mexicano bc we were still hungry ! Much more satisfying !",1,9,2,8
629,103386,459,11/4/14,This place is absolutely awesome! So chill. The eggs are great. People working are really nice. I'll be back :),9,9,8,9
630,42355,145,12/7/14,Fantastic food decor is great and service was awesome Jason is the man. Highly recommend this location and make sure you try their peppers and homemade garlic,9,7,8,7
631,8679,133,3/25/11,"Fat girl grove all the way. Egg cream!! Lemon Ricotta Pancakes!! Free snacks while waiting in line!!! I shall be back...maybe I'll shoot for a weekday when there's no wait. (((one negative if you have a nut allergy, they seem to have alot of dishes that have some of nut in it))",8,9,7,9
632,3448,877,7/6/14,"Yep, it's good. The food is really inventive and the flavors in every dish really stood out. Even the freshly baked bread had a stand out flavor. The menu is limited and changes often but I'm sure there's something for everyone. Come here if you're looking for a unique meal.",7,2,6,2
633,21227,654,6/13/14,"Definitely adding this place to my list of comfort foods to eat. Their food is pretty cheap for the amount of food that you get, but I think they started to give you less rice and curry over the years. Nethertheless, the food is great. Not the best that I've had, but it's still very good! The grand slam is definitely well worth your money and usually lasts me two meals. So basically, I'm paying for two meals at the price of one and getting delicious food for both my meals. This is a fast food restaurant, so don't expect any service... just some good food!",7,6,8,7
634,123108,890,11/8/10,should one bother to review a place that has over 550 reviews and 4 stars? ehh..why not! so you walk in and there is a line that is almost out the door. [first good sign.] you are wondering what the heck is all the hype about? it's not like they are giving away the burgers for free...oh wait. $6 for a burger. DAMN THAT PRACTICAL IS FREE [in new york at least]. i'm waiting on line. we are seated. order our food. then i decide i need to go to the bathroom...brace yourselves ladies and gentlemen because this is about to get scary. i open the door and it is like a bathroom out of Saw VII (or whatever number they are up to). Dirt. Grim. Bugs. oh emmm geee what the hell is that on the wall!!! someone give me a surgical mask! latex gloves! i'm scared i might leave this bathroom and catch an STD!!! ....at this moment i was contemplating how badly did I have to go to the bathroom. perhaps i should hold it in and risk all the terrible medical diseases you can get from not peeing when you are suppose to. or maybe i should just go pee outside in some corner because that has GOT to be cleaner... anyho lesson of the day: make sure you go to the bathroom before entering the corner bistro. order the corner bistro burger [it's amaazziinng!]. and make sure you have cash. otherwise you may have to  scrub the floor of that disgusting bathroom to pay your bill. ::shivers::,3,9,2,8
635,103121,773,12/10/14,"I don't get it... I am from NJ and love a thin, crisp crust.  This crust was thin... but soggy.  Could not hold the weight of the skimpy toppings.  Suggestion... possibly, get it to go and re-heat in oven at home to get the crust nice and crisp.  Any who... just not a huge fan and way too many better (to my liking) pizza joints in the city or.... across the river in Jersey.  Heyyyy-O! Don't hate!",2,6,1,7
636,158574,247,4/16/12,"Love Ippudo, the tonkotsu broth remind me of my hometown where it is known for, good job NYC. I wish they had the same gyoza here as the very original restaurant does.",7,4,8,6
637,4556,366,2/1/14,"I got a really bad start here with the Sage Manhattan, but the food really picked up any slack there. I got the fried chicken with biscuit and sausage gravy and it was awesome! Th chicken was so juicy and flavorful. I can't imagine better hangover food! The place is crazy popular right now though, so prepare for an hour + wait for parties of 3 or more.",8,8,9,7
638,64211,448,7/8/12,I've had the pleasure of eating here a couple of times and the food was excellent both times. I ordered the Salmon the first time (cooked to perfection) and fish tacos the second time (delicious). Our waitress was attentive and pleasant. The food took a little time to get to us but the wait was definitely worth it. Good things come to those who wait as they say.,9,8,8,6
639,4067,490,7/7/14,"I really don't enjoy writing bad reviews as to be honest, life is more fun when experiences are great and positive. Unfortunately Bouley win a new lowest of the low review for me. Again if I could give a zero rating, you'd get it Bouley. Having specifically told the restaurant when I booked a table well in advance it was to celebrate my wedding anniversary.  They cancelled my table the day before without a call to explain or even an email. It was only because I called to check my booking that I Found out. I made an official complaint and asked that the manager call me personally back. He/she deemed it not important enough. I'm sure the food is great, but this is the worst I have ever encountered in customer service and arrogance. Not even a token apology. Boyley is a disgrace and so ashamedly typical of today's supposed fine dining restauranteurs - if you want a nice dinner in NYC and it's a special occasion, please go elsewhere to avoid disappointment and being cancelled for clearly more important diners.",1,9,2,9
640,12219,57,6/2/12,"The decor and ambience, I very much enjoy coming here.  The food is great, but I guess the choice of food is very much standard, soup, sausage, sandwich, goulash, not too much variety.  The service is nothing overrated, just standard just like food.  I love coming here for just the dessert and coffee/tea.",7,3,6,4
641,4888,561,3/28/10,"Went here a couple days ago and thought it was average.  They have duck poutine, which my Canadian friends were excited about.  It was okay, but I think it lacked enough cheese to classify it as poutine.  I split a pork belly dish and the chicken fried steak with my friend.  The pork belly dish was more of a salad with small slivers of pork belly.  It wasn't bad, but I felt a little misled into getting a salad.  The chicken fried steak was tasty, but a little too starchy.  Probably won't come here again because it is so far east, but not bad if you're in the neighborhood.  Great atmosphere for dining.",4,3,5,1
642,18560,72,5/25/12,"Is it just me, or is this place overrated?  We waited about an hour on a Wednesday night.  I liked it, prettty good, but not the best ramen I've had.  Spice tuna don was just ok.  I will probably check out Ippudo next time.",4,6,2,7
643,3366,9,1/2/13,"Went here for the first time on New Year's Eve. Had the Prefix meal. Smoked trout, scallops, pork shank, sweet potato cobbler with maple/whiskey ice cream, and some rum cocktail topped w/ champagne. Blown away; food was slammin. Kelly was our server; he was basically perfect. I'd go back again.",9,9,8,9
644,8006,41,2/13/12,"The green sauce that everyone raves about is just OK... same goes for the Arepas. Not the best I've ever had, but definitely the most options. If you are into Arepas, I would check this place out for the interesting menu selection. Note: if you are looking for ambiance (latino music, etc) there is little here, def a hole-in-the-wall kind of venue.. which is fine! I definitely would encourage you to come when in need of soaking up the night before's alcohol abuse. The staff was pleasant, but expect them to be leaving the restaurant taking phone calls with their high school boyfriends... as you watch through the front window. Definitely interesting.",6,5,6,5
645,124104,718,8/24/13,"Tasty gem on an unremarkable street. Fresh ingredients, amazing flavor, vegetarian friendly menu with options. So much food at reasonable prices.",7,5,6,6
646,45919,872,5/30/10,"This place was highly recommended by a neighbor. I found it disapointing. The decor and interior was cute, I enjoyed it very much, the music was great- but my good times stopped there. The table was off by like an inch on one leg, which caused a very severe ""rocking"" back and forth... the woman who seated us said she'd be ""right back to fix it"" then never did, even though the place had 6 other patrons in it, and 4 staff. Our lovely waitress was near useless. She saw the table moving violently at one point, and just walked on by. My bf put his foot on on leg, to steady it- for the entire meal. Thank God for big feet, eh? So yeah. I didn't know what to get, so I asked our waitress. She said ""everything is good."" Yeah, I said- but what about these two? I pointed between the chirizo/eggs and the heuvos rancheros. She just snidely said ""the huevos is more Mexican, the chirizo more Argentinian"" Yeah. Ok, like I didn't know that. I just wanted to know which one the chef cooked better. My bf picked the rancheros, me the chirizo, and a coffee. The coffee wasn't bad at all. The chirizo dish was pathedic. The rancheros, near perfect, my bf reported. Of course, I thought. The sausage was paste-dry, served with completely DRY bread with hard crust, and some overcooked scrambled eggs. Yes, I ordered them scrambled, but geez, not scrambled plus 5 minutes. Then the potatoes. So, let's recap. dry, dry, dry, dry and er... dry. The flavors were decent, and of good quality, but it was apparent the chef didn't cook well, or didn't care that particular moment. My bf happily ate the entire rancheros plate, and offered me one delicious bite. Turns out the Chef is Mexican. What a surprise! (no, really, he is, and whoo boy can he cook awesome Mexican food, but I would avoid the chirizo ""Argentinian"" style stuff at all costs) The waitress really did me in though. She simply ignored us most of the meal, and when we directly asked for the check after 30 minutes of sitting there waiting for eye contact (with maybe 14 patrons at this point) she still ignored us another 10 minutes. We asked again, and the bill came. I was still hungry. I couldn't stomach the whole plate, and it wasn't much to begin with. I really wanted what my bf had- but wasn't about to spend another $10 here for such crappy service and overpriced food. Plus, we'd been there a loooong time just waiting for the bill. So I left hungry and grumpy, until I had a good slice of pizza up the road. (:",2,9,1,9
647,2827,668,1/10/13,"Benvenutti. Straight from Italy a italian food market in NYC! You'll find everything from a gelateria, produce section, meats and seafood and even fresh pasta! A large market space you can spend hours in here just browsing and eating. My favorite sections are the fresh produce (escarole, best in the city), the fresh pasta area and the rotisserie section on my work days. They have a great Prime rib sandwich for lunch that i purchase from during my lunch break. Well roasted, lots of au jus and great bread. A wide selection of cheeses and charcuterie. You can definitely make a day of it in here. I've also tried the pizza section. Nothing to scream home about, i've had better in other parts of the city like at lombardi's or grimaldi's During the summer they have a great roofdeck beer garden with a selection of food as well. Will have to come back during the summer.",7,2,8,5
648,148811,841,9/6/12,"This trendy spot in Williamsburg has some of the best chicken and waffles I've had in a while.  The seating arrangements are a little weird but once the food comes, you will not care.  Also try the chicken and biscuit.",8,6,9,5
649,127116,658,6/24/14,I ate here yesterday. Seeing they had a B rating I didn't mind it because they have a good reputation. The next morning I wake up not feeling well turns out I got food poisoning and had to leave work. Don't think ill be going back ever.,1,6,2,7
650,77195,370,3/13/11,"Everything is good here.... from the friendly bartender to the around the world beer choices and those ""must-have"" pulled pork sandwiches(better without the bbq sauce)!  Can't wait to go back!",9,7,9,6
